fetched_at,evaluated_at,ticker,staleness_seconds,max_staleness_seconds,best_yes_bid,best_yes_bid_size,best_yes_ask,best_yes_ask_size,yes_spread,yes_midpoint,best_no_bid,best_no_bid_size,best_no_ask,best_no_ask_size,no_spread,no_midpoint,yes_bid_depth,yes_ask_depth,no_bid_depth,no_ask_depth,max_spread_dollars,orderbook_status,orderbook_reason,event_ticker,close_time,market_status,eligible
2026-08-22T16:58:01.435712+00:00,2026-08-22T16:58:01.435712+00:00,KXHIGHNY-26AUG23-T87,0.0,,0.01,531.1,0.02,36.0,0.01,0.015,0.98,36.0,0.99,531.1,0.01,0.985,531.1,1772.0,1772.0,531.1,,OK,,KXHIGHNY-26AUG23,2026-08-24T05:00:00Z,active,True
2026-08-22T16:58:01.435712+00:00,2026-08-22T16:58:01.435712+00:00,KXHIGHNY-26AUG23-T80,0.0,,0.18,31.0,0.19,65.36,0.01,0.185,0.81,65.36,0.82,31.0,0.0099999999999998,0.815,3628.0,1306.0,1306.0,3628.0,,OK,,KXHIGHNY-26AUG23,2026-08-24T05:00:00Z,active,True
2026-08-22T16:58:01.435712+00:00,2026-08-22T16:58:01.435712+00:00,KXHIGHNY-26AUG23-B86.5,0.0,,0.02,199.0,0.03,82.0,0.0099999999999999,0.025,0.97,82.0,0.98,199.0,0.01,0.975,797.0,1287.0,1287.0,797.0,,OK,,KXHIGHNY-26AUG23,2026-08-24T05:00:00Z,active,True
2026-08-22T16:58:01.435712+00:00,2026-08-22T16:58:01.435712+00:00,KXHIGHNY-26AUG23-B84.5,0.0,,0.07,259.0,0.08,7.0,0.0099999999999999,0.075,0.92,7.0,0.93,259.0,0.01,0.925,1562.44,1731.0,1731.0,1562.44,,OK,,KXHIGHNY-26AUG23,2026-08-24T05:00:00Z,active,True
2026-08-22T16:58:01.435712+00:00,2026-08-22T16:58:01.435712+00:00,KXHIGHNY-26AUG23-B82.5,0.0,,0.25,95.0,0.28,81.0,0.03,0.265,0.72,81.0,0.75,95.0,0.03,0.735,3919.72,1988.58,1988.58,3919.72,,OK,,KXHIGHNY-26AUG23,2026-08-24T05:00:00Z,active,True
2026-08-22T16:58:01.435712+00:00,2026-08-22T16:58:01.435712+00:00,KXHIGHNY-26AUG23-B80.5,0.0,,0.41,46.0,0.42,39.82,0.01,0.415,0.58,39.82,0.59,46.0,0.01,0.585,2064.86,1797.19,1797.19,2064.86,,OK,,KXHIGHNY-26AUG23,2026-08-24T05:00:00Z,active,True
2026-08-22T16:58:01.435712+00:00,2026-08-22T16:58:01.435712+00:00,KXHIGHNY-26AUG22-T80,0.0,,,,0.01,5604.82,,,0.99,5604.82,,,,,0.0,9053.82,9053.82,0.0,,OK,,KXHIGHNY-26AUG22,2026-08-23T05:00:00Z,active,True
2026-08-22T16:58:01.435712+00:00,2026-08-22T16:58:01.435712+00:00,KXHIGHNY-26AUG22-T73,0.0,,,,0.01,101893.73,,,0.99,101893.73,,,,,0.0,110499.32,110499.32,0.0,,OK,,KXHIGHNY-26AUG22,2026-08-23T05:00:00Z,active,True
2026-08-22T16:58:01.435712+00:00,2026-08-22T16:58:01.435712+00:00,KXHIGHNY-26AUG22-B79.5,0.0,,,,0.01,65.49,,,0.99,65.49,,,,,0.0,2182.84,2182.84,0.0,,OK,,KXHIGHNY-26AUG22,2026-08-23T05:00:00Z,active,True
2026-08-22T16:58:01.435712+00:00,2026-08-22T16:58:01.435712+00:00,KXHIGHNY-26AUG22-B77.5,0.0,,0.22,76.0,0.23,29.0,0.01,0.225,0.77,29.0,0.78,76.0,0.01,0.775,3247.01,2518.9500000000003,2518.9500000000003,3247.01,,OK,,KXHIGHNY-26AUG22,2026-08-23T05:00:00Z,active,True
